MMSI,lng,lat
431601641,131.393083,33.8438
431601641,131.393667,33.8437
431601641,131.39425,33.843583
431601641,131.394883,33.84345
431601641,131.395417,33.843333
431601641,131.396,33.843217
431601641,131.396567,33.8431
431601641,131.3971,33.842983
431601641,131.39775,33.842867
431601641,131.398383,33.842717
431601641,131.398917,33.842617
431601641,131.3995,33.8425
431601641,131.400033,33.842417
431601641,131.400667,33.842283
431601641,131.401183,33.842167
431601641,131.4019,33.842033
431601641,131.402417,33.841933
431601641,131.403583,33.8417
431601641,131.404167,33.841583
431601641,131.40475,33.841467
431601641,131.405333,33.84135
431601641,131.405917,33.841233
431601641,131.406483,33.8411
431601641,131.407083,33.841
431601641,131.407667,33.840917
431601641,131.40825,33.840817
431601641,131.408833,33.8407
431601641,131.409417,33.8406
431601641,131.409933,33.840517
431601641,131.411767,33.840217
431601641,131.412417,33.8401
431601641,131.412933,33.840017
431601641,131.413533,33.839917
431601641,131.414117,33.839833
431601641,131.4147,33.839733
431601641,131.415283,33.839633
431601641,131.415933,33.839533
431601641,131.416467,33.83945
431601641,131.416983,33.839367
431601641,131.417633,33.83925
431601641,131.418217,33.839167
431601641,131.418817,33.839067
431601641,131.41945,33.83895
431601641,131.419983,33.83885
431601641,131.420583,33.83875
431601641,131.421167,33.83865
431601641,131.42175,33.838567
431601641,131.4224,33.83845
431601641,131.422933,33.838367
431601641,131.423467,33.8383
431601641,131.42405,33.8382
431601641,131.4247,33.838083
431601641,131.4253,33.838
431601641,131.42595,33.8379
431601641,131.426467,33.8378
431601641,131.427067,33.8377
431601641,131.428233,33.8375
431601641,131.428817,33.8374
431601641,131.4294,33.8373
431601641,131.43,33.837217
431601641,131.430583,33.837117
431601641,131.431767,33.836933
431601641,131.432367,33.83685
431601641,131.43295,33.83675
431601641,131.433533,33.83665
431601641,131.434117,33.836583
431601641,131.434767,33.836483
431601641,131.4353,33.836417
431601641,131.435883,33.836317
431601641,131.436533,33.836233
431601641,131.43705,33.836167
431601641,131.43765,33.8361
431601641,131.438233,33.836017
431601641,131.438833,33.835933
431601641,131.439417,33.835867
431601641,131.4406,33.835717
431601641,131.441133,33.83565
431601641,131.441783,33.835567
431601641,131.442367,33.835483
431601641,131.44295,33.8354
431601641,131.444183,33.83525
431601641,131.444717,33.835167
431601641,131.445367,33.835083
431601641,131.446483,33.834933
431601641,131.447717,33.834767
431601641,131.44825,33.834683
431601641,131.4489,33.8346
431601641,131.449433,33.834533
431601641,131.450083,33.83445
431601641,131.450617,33.834383
431601641,131.451267,33.8343
431601641,131.451783,33.834233
431601641,131.452433,33.83415
431601641,131.453617,33.833983
431601641,131.454733,33.83385
431601641,131.455267,33.833783
431601641,131.455967,33.833683
431601641,131.45655,33.8336
431601641,131.457083,33.833533
431601641,131.457667,33.83345
431601641,131.45825,33.833383
431601641,131.459483,33.8332
431601641,131.460667,33.83305
431601641,131.4612,33.832983
431601641,131.461833,33.8329
431601641,131.462433,33.832817
431601641,131.463017,33.832733
431601641,131.4636,33.832667
431601641,131.464717,33.832517
431601641,131.4653,33.832433
431601641,131.46595,33.83235
431601641,131.466483,33.832267
431601641,131.467117,33.832183
431601641,131.468233,33.832033
431601641,131.468817,33.83195
431601641,131.469933,33.8318
431601641,131.470633,33.8317
431601641,131.471217,33.831617
431601641,131.47175,33.83155
431601641,131.472333,33.831483
431601641,131.472983,33.831383
431601641,131.4734,33.831333
431601641,131.47415,33.831217
431601641,131.475267,33.831067
431601641,131.475867,33.830983
431601641,131.47645,33.830917
431601641,131.476983,33.830883
431601641,131.477683,33.830817
431601641,131.478267,33.830767
431601641,131.478733,33.830733
431601641,131.479383,33.830667
431601641,131.480017,33.830617
431601641,131.480433,33.830583
431601641,131.4812,33.83055
431601641,131.481783,33.830517
431601641,131.48225,33.830483
431601641,131.4829,33.83045
431601641,131.48355,33.8304
431601641,131.484067,33.830367
431601641,131.484717,33.830333
431601641,131.485317,33.830283
431601641,131.485783,33.830267
431601641,131.486367,33.830217
431601641,131.4876,33.83015
431601641,131.48825,33.8301
431601641,131.488767,33.830083
431601641,131.4893,33.830033
431601641,131.489883,33.83
431601641,131.491117,33.829917
431601641,131.49175,33.82985
431601641,131.49235,33.829817
431601641,131.49275,33.8298
431601641,131.4934,33.82975
431601641,131.494033,33.829683
431601641,131.494617,33.8296
431601641,131.495817,33.829433
431601641,131.4975,33.829217
431601641,131.498067,33.829133
431601641,131.4987,33.82905
431601641,131.499217,33.828983
431601641,131.499733,33.8289
431601641,131.500317,33.828817
431601641,131.500933,33.828717
431601641,131.501517,33.828633
431601641,131.502083,33.82855
431601641,131.50265,33.828467
431601641,131.504333,33.828233
431601641,131.5049,33.82815
431601641,131.5061,33.827983
431601641,131.506617,33.8279
431601641,131.5073,33.8278
431601641,131.507817,33.827733
431601641,131.508383,33.82765
431601641,131.509017,33.827567
431601641,131.5096,33.827483
431601641,131.51005,33.827417
431601641,131.510733,33.827333
431601641,131.51125,33.82725
431601641,131.511817,33.827167
431601641,131.512433,33.827083
431601641,131.513467,33.826933
431601641,131.51415,33.826817
431601641,131.5146,33.826767
431601641,131.515217,33.826683
431601641,131.5168,33.826467
431601641,131.51755,33.82635
431601641,131.518617,33.826183
431601641,131.51925,33.826083
431601641,131.520217,33.825933
431601641,131.52095,33.825817
431601641,131.523633,33.825433
431601641,131.524367,33.825333
431601641,131.524933,33.82525
431601641,131.525433,33.825167
431601641,131.52595,33.825117
431601641,131.527767,33.82485
431601641,131.528333,33.824767
431601641,131.528917,33.824683
431601641,131.529483,33.824617
431601641,131.5305,33.82445
431601641,131.531183,33.82435
431601641,131.53175,33.824267
431601641,131.532317,33.824183
431601641,131.532767,33.8241
431601641,131.53345,33.824
431601641,131.5339,33.823917
431601641,131.534583,33.823817
431601641,131.535133,33.823733
431601641,131.53565,33.823667
431601641,131.5362,33.823567
431601641,131.536767,33.823483
431601641,131.537267,33.823417
431601641,131.537883,33.823333
431601641,131.538433,33.82325
431601641,131.53905,33.823167
431601641,131.53955,33.823083
431601641,131.540117,33.823
431601641,131.540617,33.822933
431601641,131.5413,33.822833
431601641,131.5418,33.822767
431601641,131.542417,33.822667
431601641,131.542983,33.822583
431601641,131.543483,33.822517
431601641,131.543983,33.822433
431601641,131.54455,33.82235
431601641,131.54515,33.822267
431601641,131.545717,33.822183
431601641,131.546283,33.822117
431601641,131.547333,33.82195
431601641,131.5479,33.821883
431601641,131.548533,33.821783
431601641,131.54915,33.8217
431601641,131.5497,33.821617
431601641,131.551283,33.8214
431601641,131.55185,33.821317
431601641,131.552533,33.821233
431601641,131.5531,33.82115
431601641,131.5536,33.821083
431601641,131.554183,33.821
431601641,131.554633,33.820933
431601641,131.555317,33.820833
431601641,131.555933,33.82075
431601641,131.5565,33.820683
431601641,131.558717,33.820383
431601641,131.559333,33.820283
431601641,131.559883,33.8202
431601641,131.5604,33.82015
431601641,131.560967,33.820067
431601641,131.561483,33.82
431601641,131.562717,33.81985
431601641,131.564367,33.819633
431601641,131.564817,33.819567
431601641,131.56555,33.819467
431601641,131.566133,33.8194
431601641,131.5672,33.819233
431601641,131.567783,33.819167
431601641,131.568283,33.819083
431601641,131.569533,33.818933
431601641,131.5701,33.818867
431601641,131.571183,33.818717
431601641,131.571817,33.81865
431601641,131.57295,33.8185
431601641,131.573983,33.81835
431601641,131.575233,33.8182
431601641,131.5758,33.818133
431601641,131.576317,33.818083
431601641,131.577383,33.817933
431601641,131.578,33.81785
431601641,131.578617,33.817783
431601641,131.580833,33.817483
431601641,131.582033,33.81735
431601641,131.58255,33.817283
431601641,131.58305,33.817217
431601641,131.584233,33.81705
431601641,131.585433,33.816883
431601641,131.586517,33.81675
431601641,131.587133,33.816667
431601641,131.58765,33.816617
431601641,131.588217,33.816533
431601641,131.5888,33.816467
431601641,131.589933,33.816317
431601641,131.591067,33.816167
