lng,lat,MMSI
121.45476,37.590777,412020540
121.454827,37.590793,412020540
121.45488,37.590803,412020540
121.454947,37.59082,412020540
121.455013,37.59084,412020540
121.45508,37.590857,412020540
121.455147,37.590877,412020540
121.455213,37.5909,412020540
121.45528,37.59092,412020540
121.455347,37.590947,412020540
121.455453,37.591,412020540
121.455507,37.59103,412020540
121.455587,37.59107,412020540
121.455653,37.591107,412020540
121.4558,37.59122,412020540
121.45584,37.591277,412020540
121.455893,37.59131,412020540
121.455947,37.591343,412020540
121.456013,37.591383,412020540
121.456053,37.59144,412020540
121.456107,37.591473,412020540
121.45616,37.591533,412020540
121.4562,37.591593,412020540
121.456227,37.59165,412020540
121.456267,37.591703,412020540
121.456307,37.59176,412020540
121.456333,37.591817,412020540
121.456373,37.59187,412020540
121.4564,37.59194,412020540
121.456413,37.591993,412020540
121.456467,37.592057,412020540
121.456493,37.592117,412020540
121.456533,37.592173,412020540
121.456653,37.592253,412020540
121.45676,37.59227,412020540
121.456947,37.59225,412020540
121.45712,37.592247,412020540
121.4572,37.59222,412020540
121.457267,37.592183,412020540
121.457333,37.59213,412020540
121.457387,37.592103,412020540
121.45744,37.59209,412020540
121.457493,37.592063,412020540
121.457533,37.59201,412020540
121.457587,37.591983,412020540
121.45764,37.591953,412020540
121.457773,37.591847,412020540
121.457827,37.591787,412020540
121.45788,37.59173,412020540
121.458,37.591583,412020540
121.45804,37.5915,412020540
121.45812,37.59133,412020540
121.45816,37.59127,412020540
121.4582,37.591183,412020540
121.458253,37.591053,412020540
121.458267,37.590993,412020540
121.458307,37.590937,412020540
121.45832,37.590883,412020540
121.458333,37.590827,412020540
121.458373,37.590757,412020540
121.458373,37.590703,412020540
121.458373,37.590643,412020540
121.458413,37.590573,412020540
121.458453,37.5905,412020540
121.458493,37.590447,412020540
121.458533,37.590393,412020540
121.458587,37.590353,412020540
121.45864,37.590287,412020540
121.45876,37.59021,412020540
121.458907,37.59007,412020540
121.458907,37.59001,412020540
